index,Pathway
553,PWY0-1534
554,PWY-7180
555,PWY-7335
556,PWY0-1309
557,RIBOKIN-PWY
558,ALKANEMONOX-PWY
559,LIPA-CORESYN-PWY
560,PWY-5964
561,FUCCAT-PWY
562,PWY0-1275
563,DARABCATK12-PWY
564,SORBDEG-PWY
565,GLYCOGENSYNTH-PWY
566,CARNMET-PWY
567,PWY-6123
568,PWY-6703
569,PWY-7181
570,ARABCAT-PWY
571,PWY-7195
572,PWY-6476
573,UDPNAGSYN-PWY
574,PPGPPMET-PWY
575,PWY0-1586
576,MANNIDEG-PWY
577,FERMENTATION-PWY
578,PWY0-1433
579,PWY-7805
580,PWY-5837
581,PWY0-1324
582,PWY-6268
583,PWY0-1312
584,PWY0-1305
585,PWY0-301
586,PWY0-661
587,PWY0-1241
588,PWY-5755
589,PWY-6961
590,NADPHOS-DEPHOS-PWY
591,PWY0-1299
592,PWY-6620
593,PWY3O-4106
594,PWY-7761
595,PWY-7315
596,PWY0-901
597,PWY0-1295
598,PWY-6892
599,TCA
600,PWY0-1303
601,PWY-5965
602,1CMET2-PWY
603,PWY-4121
604,AST-PWY
605,PYRIDNUCSAL-PWY
606,BETSYN-PWY
607,PWY-5966
608,DTDPRHAMSYN-PWY
609,PWY0-1546
610,PWY0-823
611,PYRIDOXSYN-PWY
612,PWY-7446
613,PWY-7801
614,PWY0-981
615,PWY-6537
616,PWY-4621
617,PWY-6608
618,TYRSYN
619,PWY-5901
620,PWY0-1315
621,ALANINE-VALINESYN-PWY
622,PWY0-1317
623,ENTNER-DOUDOROFF-PWY
624,PWY-7222
625,IDNCAT-PWY
626,ALADEG-PWY
627,COBALSYN-PWY
628,PWY0-1306
629,PWY0-521
630,GALACTCAT-PWY
631,PWY0-862
632,PWY-7242
633,PWY0-1533
634,PWY0-1261
635,PWY-7247
636,GLYCOLATEMET-PWY
637,PWY0-1391
638,PWY-6519
639,DAPLYSINESYN-PWY
640,TRYPDEG-PWY
641,BGALACT-PWY
642,GLYCOCAT-PWY
643,RHAMCAT-PWY
644,GLUTSYN-PWY
645,PWY-6153
646,HCAMHPDEG-PWY
647,PWY-5785
648,PWY-6690
649,PWY-6700
650,PWY0-1587
651,PWY0-1554
652,PWY0-1479
653,PWY-7220
654,GLUCARDEG-PWY
655,GALACTUROCAT-PWY
656,PWY0-1517
657,GLUCONSUPER-PWY
658,GALACTARDEG-PWY
659,PWY-5162
660,PWY-6387
661,FAO-PWY
662,PWY0-1347
663,PWY-6038
664,GLUTDEG-PWY
665,PWY0-1355
666,GLYCEROLMETAB-PWY
667,PWY0-1545
668,ACETOACETATE-DEG-PWY
669,PWY-5668
670,PWY0-1337
671,PWY0-1576
672,PWY-6894
673,PWY0-1581
674,PWY0-1280
675,HOMOSER-METSYN-PWY
676,PWY0-1561
677,PWY0-1527
678,PWY0-1585
679,PWY0-1465
680,PWY0-1568
681,PWY0-1569
682,PWY0-1336
683,PWY0-1296
684,MENAQUINONESYN-PWY
685,PWY-7544
686,PWY0-1352
687,PWY0-1466
688,PWY-7179
689,PROPIONMET-PWY
690,PHESYN
691,PWY0-1334
692,PWY0-1573
693,SALVADEHYPOX-PWY
694,PWY-6708
695,PWY0-1471
696,PWY0-42
697,PWY0-1338
698,PWY0-321
699,PWY-7506
700,PWY-7501
701,PWY-5651
702,PWY-6307
703,PWY-0
704,PWY-5067
705,PWY-7601
706,PWY-5941
707,PWY66-421
708,PWY66-420
709,PWY-6405
710,PWY66-397
711,PWY66-395
712,PWY-6100
713,PWY66-394
714,PWY66-393
715,PWY66-392
716,PWY66-382
717,PWY66-381
718,PWY66-380
719,PWY66-378
720,PWY66-377
721,PWY66-375
722,PWY66-374
723,PWY66-301
724,PWY-5270
725,PWY-7306
726,PWY-7299
727,PWY-6241
728,PWY-6076
729,PWY-6030
730,PWY-6566
731,PWY-6557
732,PWY-7179-1
733,PWY-5695
734,PWY-6567
735,PWY-5663
736,PWY-6558
737,PWY-6568
738,PWY-5189
739,PWY-6260
740,PWY-6261
741,P121-PWY
742,PWY-6138
743,PWY-5754
744,PWY-5972
745,PWY-7433
746,HOMOCYSDEGR-PWY
747,PWY66-398
748,PWY3DJ-12
749,PWY-7437
750,PWY-7511
751,PWY-5872
752,PWY-7606
753,PWY-7177
754,PWY6666-2
755,PWY66-428
756,PWY-6181
757,PWY-4921
758,PWY66-389
759,PWY66-422
760,PWY-6370
761,PWY66-221
762,PWY66-201
763,PWY66-161
764,PWY66-162
765,PWY-5030
766,PWY-6400
767,LYSINE-DEG1-PWY
768,PWY66-425
769,PWY-6398
770,PWY-6399
771,PWY-7286
772,PWY-2201
773,PWY-6689
774,PWY3DJ-11281
775,PWY-6129
776,PWY-7210
777,PWY-7455
778,PWY-6366
779,PWY-6074
780,PWY-6061
781,PWY-6365
782,ADENOSYLHOMOCYSCAT-PWY
783,ASPARAGINE-DEG1-PWY-1
784,MGLDLCTANA-PWY
785,CHOLINE-BETAINE-ANA-PWY
786,PWY-6482
787,PWY-6173
788,PWY-6158
789,GLYCGREAT-PWY
790,CYSTEINE-DEG-PWY
791,PWY66-367
792,PWY-5329
793,PWY66-368
794,PWY-5652
795,PWY-5177
796,PWY-5996
797,PWY-5994
